,time,cpu%,mem%
0,20210108-094550,0.0,0.6085633821908367
1,20210108-094553,0.0,0.6085633821908367
2,20210108-094556,0.0,0.6085633821908367
3,20210108-094559,0.0,0.6085633821908367
4,20210108-094602,0.0,0.6085633821908367
5,20210108-094605,0.0,0.6085633821908367
6,20210108-094608,0.0,0.6085633821908367
7,20210108-094611,0.0,0.6085633821908367
8,20210108-094614,0.0,0.6085633821908367
9,20210108-094617,0.0,0.6085633821908367
10,20210108-094620,0.0,0.6085633821908367
11,20210108-094623,0.0,0.6085633821908367
12,20210108-094626,0.0,0.6085633821908367
13,20210108-094629,0.0,0.6085633821908367
14,20210108-094632,0.0,0.6085633821908367
15,20210108-094635,0.0,0.6085633821908367
16,20210108-094638,0.0,0.6085633821908367
17,20210108-094641,0.0,0.6085633821908367
18,20210108-094644,0.0,0.6085633821908367
19,20210108-094647,0.0,0.6085633821908367
20,20210108-094650,0.015,0.6085633821908367
21,20210108-094653,0.0,0.6085633821908367
22,20210108-094656,0.0,0.6085633821908367
23,20210108-094659,0.0,0.6085633821908367
24,20210108-094702,0.0,0.6085633821908367
25,20210108-094705,0.0,0.6085633821908367
26,20210108-094708,0.0,0.6085633821908367
27,20210108-094711,0.0,0.6085633821908367
28,20210108-094714,0.0,0.6085633821908367
29,20210108-094717,0.0,0.6085633821908367
30,20210108-094720,0.0,0.6085633821908367
31,20210108-094723,0.0,0.6085633821908367
32,20210108-094726,0.0,0.6085633821908367
33,20210108-094729,0.0,0.6085633821908367
34,20210108-094732,0.0,0.6085633821908367
35,20210108-094735,0.0,0.6085633821908367
36,20210108-094738,0.0,0.6085633821908367
37,20210108-094741,0.0,0.6085633821908367
38,20210108-094744,0.0,0.6085633821908367
39,20210108-094747,0.0,0.6085633821908367
40,20210108-094750,0.0,0.6085633821908367
41,20210108-094753,0.015,0.6085633821908367
42,20210108-094756,0.0,0.6085633821908367
43,20210108-094759,0.0,0.6085633821908367
44,20210108-094802,0.0,0.6085633821908367
45,20210108-094805,0.0,0.6085633821908367
46,20210108-094808,0.0,0.6085633821908367
47,20210108-094811,0.0,0.6085633821908367
