,success,success_ad,success_k8s,success_hyscal
0,0.9976625514403292,0.9999989711934156,0.9979341563786008,0.9985246913580248
1,0.9993862959894444,0.9999926355518732,0.9999791340636413,0.9980692871827918
2,0.9990273028279868,0.9999934864028659,0.9972545188080116,0.9997014601313576
3,0.9995805968429544,0.9998847793524599,0.9999815646963937,0.9999784921457924
4,0.9977392796678958,0.99999443400821,0.9999953616735082,0.9999833020246296
5,0.9971749359422316,0.9998015373864432,0.9997782436524576,0.999867691590962
6,0.9998364617921438,0.9995852815612928,0.9993277766483702,0.9986429039325968
7,0.9995911612095189,0.9999937376990518,0.9985050993022008,0.9999973161567364
8,0.9998127232358336,0.9999980693117096,0.9997075007240082,0.9995877980500047
9,0.9983597324885604,0.9998838437170009,0.9999917869294848,0.9993159685556728
10,0.9999730250481697,0.9999922928709056,0.9999935773924212,0.9996917148362237
11,0.9987509077705156,0.99999515855725,0.99999322198015,0.9997298474945534
12,0.9993524305555556,0.9999930555555556,0.9999487847222224,0.9999887152777778
13,0.9999948310396072,0.9999569253300596,0.9999224655941074,0.99997846266503
14,0.9998266613819528,1.0,0.9999862597436914,0.9999767472585548
15,1.0,1.0,1.0,1.0
16,0.9986432856483618,0.999997949033482,0.9998195149464184,0.996600522996462
17,0.9999191009361772,1.0,0.9999841537916224,0.9988999395342048
18,0.9998825691363004,0.9999946214871588,0.9995634440410559,0.9995096589126441
19,0.9997466471779879,0.9997743416160216,0.9969895120137446,0.9976654614457522
20,0.9999967546955498,0.999998377347775,0.9993347125877248,0.9999821508255244
21,0.999491991991992,0.9999962462462464,1.0,0.9999987487487488
22,0.9997949492090448,0.9999823882756236,0.9974337201622796,0.9998238827562348
23,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,0.999434008294706,0.9998102518229378,0.999486053508986,0.99868694261473
30,0.9997759504230724,1.0,0.999960274897708,0.999768005402614
31,0.9999941335210608,0.9999964801126364,0.9998650709843953,0.9997266220814268
32,0.9999890260631,0.999993903368389,1.0,0.9993354671543973
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
36,0.99874171922726,0.9999476377484232,0.9971121424887937,0.9985608314490856
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,0.9984746134788473,0.9999510772415092,0.9942685106783328,0.9977194467965002
40,0.9982798353909466,0.9999753086419751,0.9989182833627278,0.9999823633156968
41,0.9999887446801028,0.9999985930850128,0.9999957792550384,0.999295135591432
42,0.9996150223205144,0.9999934471884344,0.9999049842322972,0.9984518982676004
43,0.999887482419128,0.9999932489451476,0.9999954992967652,0.9998289732770744
44,1.0,1.0,1.0,1.0
45,0.9989836188912828,0.9999972641154544,0.9977757258643686,0.9951588522964332
46,0.9994115693697284,0.9999827322839876,0.9999946868566116,0.9999083482765492
47,0.9999896747547754,0.9999988527505306,0.9999919692537144,0.9999793495095508
48,0.9990937232431008,0.9999986827372719,0.9997299611407496,0.9976658104458934
49,1.0,1.0,1.0,1.0
50,0.999006810292286,0.9999947001616449,0.9982044147653496,0.9998855234915336
51,0.9993674690922396,0.9998693117959172,0.9986293421155806,0.9967390679317284
52,0.9999778691876549,0.9999961511630704,0.9969016862716796,0.9968227851146232
53,1.0,0.9998207300329008,0.9986290510608532,0.9998455998549258
54,0.997764398956452,0.9999973242357348,0.9980881664325372,0.9985604388253396
55,0.9999889027604384,0.9999977805520875,0.9990522957414344,0.9987504508253572
56,0.9991979027219992,0.9999966532797858,0.9996195894689872,0.9996809460062472
57,0.9999971455077428,0.9999957182616144,0.9984528651966031,0.996156426175694
58,0.9999947804527958,0.9999921706791935,0.9997455470737914,0.9999960853395968
59,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0
64,0.9984525103238426,0.9999971020792582,0.995792219082808,0.997151343910744
65,0.9999929313010824,0.9999991164126352,0.9984448862381268,0.9996713055003312
66,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0
89,0.9998155339805824,0.9999967637540452,0.9973549083063646,0.9993257820927725
90,0.9965828952737572,0.999924149684357,0.9999587143851564,0.9994556059624108
91,0.9994750513880418,0.9999963858959592,0.9976725169975832,0.9992744686137652
92,0.9998099218788874,0.9999960193063642,0.9999800965318206,0.9973428869980594
93,0.9989124932457412,0.9998942069789268,0.9979865199215084,0.9984586070585558
94,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0
97,0.998751419731328,0.9999953001997416,0.9988971135393412,0.9984537657149573
98,0.999964250375052,0.9999974464553608,0.9999948929107216,0.9999897858214434
99,1.0,1.0,1.0,1.0
