,0
0,411.0300740740741
1,409.6997219920832
2,433.717740867394
3,298.7551115719937
4,372.2395630696445
5,411.55849802003263
6,352.18425425221926
7,411.6894560744319
8,317.2388493097789
9,368.8973319253784
10,318.5616403339756
11,353.99920213023483
12,364.23872829861114
13,346.28913355301415
14,343.6121231338354
15,3.070626171728534
16,479.8851838178742
17,362.85208982298116
18,344.3637631661512
19,490.17225119881016
20,527.9812242911038
21,2.9284534534534536
22,641.6344372110576
23,3.1739994764536945
24,2.901204780361757
25,3.0269945599523065
26,4.005959420289855
27,3.081189395434511
28,3.059100620482313
29,476.3591477596162
30,403.6199467683629
31,527.8403918807932
32,3.1212182548004934
33,4.018609912760042
34,2.910012096077415
35,3.1868199233716474
36,583.5527232337657
37,3.4794693762348294
38,3.002929809605001
39,614.4178605701383
40,479.0231111111111
41,328.9730209982062
42,484.83935782446656
43,354.36277468354433
44,3.461422222222222
45,569.184848671386
46,322.91393770339374
47,333.0528457523088
48,343.79357834420074
49,3.6487160764269198
50,572.3979627421363
51,590.1670310253796
52,402.7164215438647
53,557.0931364472423
54,533.5566138203225
55,633.186986267166
56,698.4133746095494
57,504.5054249625348
58,373.3440373197625
59,3.4282800838574423
60,3.722589627567003
61,3.136870109546166
62,3.9542921096810297
63,2.976619926199262
64,424.17998695935665
65,411.50919991164125
66,4.870036572622779
67,3.024118690533785
68,4.281305337718189
69,4.232592592592592
70,3.1886039886039885
71,3.1598746081504703
72,4.3822222222222225
73,3.8704761904761904
74,3.5548148148148146
75,3.2134643647631695
76,3.0382918069584735
77,3.545872463387404
78,3.7977871597030135
79,3.2230046183102417
80,3.750728508984944
81,5.334072077468304
82,3.2160323541932736
83,4.553647852575399
84,3.412361213915618
85,5.357356515236493
86,3.8821484057113267
87,4.3133333333333335
88,3.4792592592592593
89,470.20940884573895
90,393.12214013105785
91,492.59812699058074
92,435.47481116584567
93,536.6757489406478
94,3.3250136836343733
95,4.29557628875695
96,2.9507896692679303
97,563.5817350095954
98,354.90929426410037
99,3.5008227356857127
