,state01,state02,state03,state04,state05,state_p
227,0,0,3,0,0,0
228,0,3,0,0,0,0
229,3,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,0,0,0,0
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,4
246,0,0,0,0,4,3
247,0,0,0,4,3,3
248,0,0,4,3,3,3
249,0,4,3,3,3,0
250,4,3,3,3,0,3
251,3,3,3,0,3,0
252,3,3,0,3,0,0
253,3,0,3,0,0,0
254,0,3,0,0,0,0
255,3,0,0,0,0,0
256,0,0,0,0,0,0
257,0,0,0,0,0,0
258,0,0,0,0,0,0
259,0,0,0,0,0,3
260,0,0,0,0,3,3
261,0,0,0,3,3,0
262,0,0,3,3,0,0
263,0,3,3,0,0,0
264,3,3,0,0,0,0
265,3,0,0,0,0,0
266,0,0,0,0,0,0
267,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,0,0,0,0,0,0
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,0,0,0,0,0,0
274,0,0,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
277,0,0,0,0,0,0
278,0,0,0,0,0,0
279,0,0,0,0,0,0
280,0,0,0,0,0,0
281,0,0,0,0,0,0
282,0,0,0,0,0,0
283,0,0,0,0,0,0
284,0,0,0,0,0,4
285,0,0,0,0,4,3
286,0,0,0,4,3,3
287,0,0,4,3,3,4
288,0,4,3,3,4,0
289,4,3,3,4,0,0
290,3,3,4,0,0,0
291,3,4,0,0,0,0
292,4,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,3
296,0,0,0,0,3,0
297,0,0,0,3,0,0
298,0,0,3,0,0,3
299,0,3,0,0,3,0
300,3,0,0,3,0,0
301,0,0,3,0,0,0
302,0,3,0,0,0,4
303,3,0,0,0,4,4
304,0,0,0,4,4,0
305,0,0,4,4,0,0
306,0,4,4,0,0,0
307,4,4,0,0,0,3
308,4,0,0,0,3,0
309,0,0,0,3,0,3
310,0,0,3,0,3,3
311,0,3,0,3,3,3
312,3,0,3,3,3,3
313,0,3,3,3,3,3
314,3,3,3,3,3,3
315,3,3,3,3,3,3
316,3,3,3,3,3,4
317,3,3,3,3,4,0
318,3,3,3,4,0,0
319,3,3,4,0,0,3
320,3,4,0,0,3,3
321,4,0,0,3,3,3
322,0,0,3,3,3,3
323,0,3,3,3,3,4
324,3,3,3,3,4,3
325,3,3,3,4,3,4
326,3,3,4,3,4,0
327,3,4,3,4,0,3
328,4,3,4,0,3,4
329,3,4,0,3,4,3
330,4,0,3,4,3,0
331,0,3,4,3,0,3
332,3,4,3,0,3,3
333,4,3,0,3,3,3
334,3,0,3,3,3,4
335,0,3,3,3,4,0
336,3,3,3,4,0,3
337,3,3,4,0,3,3
338,3,4,0,3,3,3
339,4,0,3,3,3,3
340,0,3,3,3,3,3
341,3,3,3,3,3,3
342,3,3,3,3,3,3
343,3,3,3,3,3,4
344,3,3,3,3,4,4
345,3,3,3,4,4,4
346,3,3,4,4,4,3
347,3,4,4,4,3,3
348,4,4,4,3,3,3
349,4,4,3,3,3,4
350,4,3,3,3,4,3
351,3,3,3,4,3,4
352,3,3,4,3,4,4
353,3,4,3,4,4,4
354,4,3,4,4,4,4
355,3,4,4,4,4,4
