,0
0,0.9979341563786008
1,0.9999791340636411
2,0.9972545188080117
3,0.9999815646963935
4,0.9999953616735082
5,0.9997782436524575
6,0.9993277766483702
7,0.9985050993022008
8,0.9997075007240082
9,0.9999917869294849
10,0.9999935773924213
11,0.9999932219801501
12,0.9999487847222223
13,0.9999224655941074
14,0.9999862597436914
15,1.0
16,0.9998195149464185
17,0.9999841537916223
18,0.999563444041056
19,0.9969895120137446
20,0.9993347125877247
21,1.0
22,0.9974337201622795
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9994860535089859
30,0.9999602748977079
31,0.9998650709843951
32,1.0
33,1.0
34,1.0
35,1.0
36,0.9971121424887937
37,1.0
38,1.0
39,0.9942685106783329
40,0.9989182833627278
41,0.9999957792550385
42,0.9999049842322971
43,0.9999954992967651
44,1.0
45,0.9977757258643686
46,0.9999946868566115
47,0.9999919692537143
48,0.9997299611407495
49,1.0
50,0.9982044147653496
51,0.9986293421155806
52,0.9969016862716797
53,0.9986290510608533
54,0.9980881664325373
55,0.9990522957414343
56,0.9996195894689871
57,0.9984528651966031
58,0.9997455470737914
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,0.9957922190828081
65,0.9984448862381268
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.9973549083063646
90,0.9999587143851564
91,0.9976725169975831
92,0.9999800965318206
93,0.9979865199215084
94,1.0
95,1.0
96,1.0
97,0.9988971135393413
98,0.9999948929107217
99,1.0
