,0
0,394.1686913580247
1,472.0340176133051
2,497.9895120230147
3,567.2034735184545
4,477.6825965351701
5,474.6695653389238
6,303.94049016286056
7,507.3408355698694
8,423.9487180229752
9,509.4943212483867
10,420.1218458574181
11,428.79330137981117
12,469.83782552083335
13,373.99555814003577
14,362.5992929052715
15,3.2574278215223096
16,629.2137425011537
17,384.9815992160297
18,317.97584151315493
19,379.1221560632869
20,399.74474220112774
21,540.2859284284284
22,524.012040129572
23,2.786962583582302
24,4.249454134366925
25,3.691115582383188
26,2.9383935587761676
27,2.901540688112624
28,2.805452568285038
29,601.834736927706
30,729.9568664839312
31,386.2607333098674
32,474.01883249504647
33,3.8707314734924743
34,3.177151085766949
35,3.1581654270903763
36,564.0742274584474
37,3.0626023144228056
38,3.4138704177323103
39,600.1382005205884
40,514.6382986478542
41,345.78357708135485
42,401.6870491870418
43,417.9551977496484
44,3.0043572984749454
45,610.5281994459834
46,438.52476190476193
47,378.4598841278036
48,465.156609365738
49,3.8194165965978915
50,514.7191223467685
51,338.8716286363993
52,318.1033027831902
53,349.58127716898525
54,477.4048043347381
55,353.4220934942433
56,396.6737037037037
57,324.7750231927496
58,346.47786781496706
59,3.1103899371069184
60,3.574632478632479
61,3.5814006259780906
62,3.3050898464216876
63,2.9911143911439115
64,474.2690342679128
65,401.8509891760548
66,4.936631497683994
67,3.595065312046444
68,6.09383156152524
69,4.151111111111111
70,3.2544729344729344
71,3.435867588213896
72,4.2555555555555555
73,3.843174603174603
74,3.47
75,3.166980079681275
76,2.8549539842873175
77,3.881122142999933
78,3.333843686205891
79,3.327435479489269
80,3.8690859549170176
81,3.2173864430468204
82,3.1558450404427414
83,17.391184895072193
84,3.2959485435457636
85,7.036896922142824
86,3.1511379538926123
87,4.264444444444444
88,3.468148148148148
89,455.3878133764833
90,505.73748877847385
91,323.3638219150234
92,401.28657511071304
93,393.9640087592071
94,3.1271658456486042
95,3.1699896333993025
96,3.4248550724637683
97,531.1672596247993
98,339.7822541415302
99,3.1159519971341574
