,requests
631,877050
632,992250
633,1051950
634,1051200
635,995100
636,1004850
637,986100
638,1022700
639,1000200
640,1026600
641,985650
642,904500
643,927150
644,934800
645,956550
646,1075350
647,1029000
648,992400
649,943200
650,822600
651,912900
652,940200
653,874200
654,850800
655,933900
656,878850
657,972150
658,1021650
659,891750
660,923700
661,941100
662,972150
663,896100
664,814350
665,836100
666,903000
667,906300
668,667050
669,710250
670,725850
671,741450
672,904650
673,737850
674,735900
675,840450
676,912300
677,877500
678,862800
679,777150
680,786450
681,832350
682,820500
683,812550
684,853200
685,766650
686,818100
687,833100
688,788550
689,761700
690,703950
691,696900
692,753450
693,799950
694,898800
695,912300
696,931500
697,929400
698,689100
699,564750
700,657750
701,700950
702,779400
703,767550
704,658950
705,507000
706,730950
707,705600
708,706800
709,627000
710,635250
711,491100
712,509700
713,707250
714,690300
715,676350
716,661800
717,757350
718,753150
719,796050
720,816600
721,777600
722,630300
723,549900
724,409950
725,468150
726,522750
727,670050
728,680400
729,655800
730,733050
731,707550
732,660150
733,621150
734,240150
735,336150
736,319200
737,377700
738,60750
739,247650
740,359550
741,349950
742,761100
743,622650
744,694950
745,523800
746,285750
747,246450
748,603750
749,392100
750,481800
751,672450
752,682650
753,729150
754,734100
755,740100
756,789300
757,729900
758,624600
759,634050
760,281550
761,634050
762,652950
763,611550
764,587850
765,548400
766,776250
767,492900
768,667200
769,704850
770,320100
771,476700
772,653550
773,489450
774,374850
775,298500
776,258000
777,597450
778,672900
779,270000
780,160350
781,332850
782,284250
783,214800
784,165300
785,219450
786,296700
787,30000
788,18750
789,303150
790,658500
791,496500
792,334050
793,498300
794,106050
795,207750
796,59100
797,20700
798,1650
799,104400
800,45000
801,192900
802,300000
803,703950
804,594600
805,733200
806,792600
807,818400
808,595350
809,387300
810,646650
811,135450
812,1650
813,560850
814,715800
815,309300
816,198600
817,438750
818,601050
819,681750
820,776700
821,712650
822,679200
823,645450
824,539850
825,657000
826,722250
827,778950
828,688050
829,669600
830,630600
831,707100
832,645300
833,479550
834,432000
835,44100
836,89100
837,343650
838,620700
839,742200
840,745500
841,734100
842,725400
843,705600
844,764400
845,803550
846,802950
847,832350
848,783300
849,804900
850,861450
851,903150
852,755250
853,789750
854,733950
855,743700
856,696450
857,731850
858,651000
859,702750
860,723150
861,633300
862,799200
863,759900
864,787050
865,606000
866,591750
867,737400
868,656250
869,665100
870,710700
871,880500
872,854250
873,997650
874,1038300
875,939450
876,802200
877,882600
878,886950
879,1156500
880,1192500
881,1075950
882,1027050
883,1074600
884,1062300
885,1012500
886,1014450
887,1010850
888,1049250
889,1021650
890,1019250
891,1018950
892,1021200
893,910950
894,919350
895,934800
896,881850
897,921000
898,981000
899,940950
900,974550
901,951300
902,910350
903,771300
904,821550
905,957750
906,996300
907,952050
908,921300
909,960000
910,1070100
911,1032900
912,991650
913,969150
914,974700
915,920100
916,880350
917,879450
918,885000
919,808050
920,837750
921,864450
922,909150
923,882750
924,838950
925,766200
926,844500
927,739050
928,749250
929,834450
930,829800
931,898950
932,888450
933,856800
934,981600
935,919050
936,922200
937,956550
938,632700
939,814050
940,694050
941,757650
942,865650
943,819900
944,757200
945,812100
946,875700
947,937050
948,917550
949,815700
950,751500
951,797100
952,1008450
953,770250
954,777150
955,888450
956,815850
957,779700
958,671550
959,793500
960,857100
961,852450
962,865200
963,761400
964,768300
965,792000
966,826200
967,942750
968,982050
969,930450
970,1008450
971,898500
972,877650
973,870900
974,773400
975,807750
976,787200
977,748350
978,727200
979,666450
980,714450
981,799800
982,746100
983,693450
984,803550
985,721800
986,772800
987,757350
988,687900
989,510900
990,656400
991,575550
992,657750
993,733200
994,766350
995,717450
996,723150
997,678750
998,778050
999,758100
1000,701850
1001,719100
1002,649950
1003,726900
1004,699150
1005,546600
1006,756750
1007,620100
1008,572850
1009,729750
1010,790650
1011,734250
1012,559950
1013,394050
1014,592350
1015,214050
1016,159300
1017,655500
1018,673950
1019,656400
1020,693150
1021,686100
1022,648450
1023,603900
1024,247350
1025,445500
1026,335400
1027,175200
1028,602400
1029,517800
1030,573000
1031,184200
1032,447300
1033,316050
1034,275700
1035,376500
1036,554100
1037,372000
1038,320400
1039,677100
1040,651750
1041,316350
1042,486000
1043,391350
1044,466800
1045,504000
1046,176700
1047,231300
1048,87000
1049,169200
1050,581550
1051,431700
1052,543900
1053,533100
1054,723600
1055,543300
1056,624900
1057,730500
1058,614850
1059,667650
1060,703200
1061,690150
1062,671400
1063,730050
1064,623100
1065,651450
1066,803550
1067,632400
1068,490050
1069,735000
1070,600600
1071,646650
1072,388350
1073,467250
1074,296850
1075,322350
1076,510450
1077,619800
1078,388200
1079,644700
1080,510900
1081,665850
1082,385800
1083,579750
1084,327000
1085,446700
1086,211800
1087,357000
1088,438900
1089,226500
1090,664950
1091,739800
1092,725550
1093,839100
1094,792450
1095,734850
1096,704100
1097,441300
1098,558000
1099,489450
1100,291300
1101,645450
1102,660750
1103,635700
1104,608550
1105,699150
1106,669300
1107,535350
1108,238200
1109,225450
1110,585750
1111,709200
1112,493800
1113,610800
1114,402900
1115,489600
1116,543750
1117,479400
1118,286800
1119,198150
1120,487050
1121,61200
1122,379200
1123,127800
1124,40950
1125,480000
1126,680550
1127,867300
1128,866550
1129,730050
1130,811800
1131,786600
1132,767250
1133,887550
1134,872250
1135,929250
1136,886950
1137,921000
1138,955650
1139,799650
1140,860400
1141,828750
1142,993000
1143,1005450
1144,1002900
1145,1009500
1146,915150
1147,1017150
1148,921750
1149,889650
1150,990900
1151,943650
1152,892200
1153,855300
1154,864150
1155,1030200
1156,1125900
1157,1212000
1158,1193700
1159,1049400
1160,1120650
1161,1057650
1162,1071000
1163,1032900
1164,1020150
1165,1074450
1166,1063650
1167,1060200
1168,1069050
1169,1073400
1170,1060500
1171,1043250
1172,1039050
1173,1031250
1174,1047900
1175,962850
1176,998850
1177,1016400
1178,1031550
1179,1061100
1180,1052100
1181,1036650
