,0
0,0.9976625514403292
1,0.9993862959894443
2,0.9990273028279868
3,0.9995805968429543
4,0.9977392796678958
5,0.9971749359422315
6,0.9998364617921438
7,0.9995911612095187
8,0.9998127232358336
9,0.9983597324885604
10,0.9999730250481695
11,0.9987509077705156
12,0.9993524305555556
13,0.9999948310396072
14,0.9998266613819528
15,1.0
16,0.9986432856483618
17,0.9999191009361773
18,0.9998825691363005
19,0.999746647177988
20,0.9999967546955498
21,0.999491991991992
22,0.9997949492090449
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.9994340082947061
30,0.9997759504230723
31,0.9999941335210607
32,0.9999890260631001
33,1.0
34,1.0
35,1.0
36,0.9987417192272601
37,1.0
38,1.0
39,0.9984746134788471
40,0.9982798353909466
41,0.9999887446801027
42,0.9996150223205144
43,0.999887482419128
44,1.0
45,0.9989836188912828
46,0.9994115693697284
47,0.9999896747547754
48,0.9990937232431009
49,1.0
50,0.9990068102922861
51,0.9993674690922397
52,0.9999778691876549
53,1.0
54,0.997764398956452
55,0.9999889027604384
56,0.9991979027219992
57,0.9999971455077428
58,0.9999947804527958
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,0.9984525103238426
65,0.9999929313010824
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,0.9998155339805825
90,0.9965828952737572
91,0.9994750513880418
92,0.9998099218788874
93,0.9989124932457413
94,1.0
95,1.0
96,1.0
97,0.9987514197313281
98,0.9999642503750519
99,1.0
